year,country,type,n,region,subregion,intermediate_region,least_developed,land_locked_developing,small_island_developing,code_region,code_subregion,code_intermediate_region,code_m49,code_iso_alpha2,code_iso_alpha3
2007,Canada,pv,1342133,Americas,Northern America,NA,0,0,0,19,21,NA,124,CA,CAN
2007,Canada,cv,1236657,Americas,Northern America,NA,0,0,0,19,21,NA,124,CA,CAN
2007,China,pv,6381116,Asia,Eastern Asia,NA,0,0,0,142,30,NA,156,CN,CHN
2007,China,cv,2501340,Asia,Eastern Asia,NA,0,0,0,142,30,NA,156,CN,CHN
2007,Czech Republic,pv,925060,Europe,Eastern Europe,NA,0,0,0,150,151,NA,203,CZ,CZE
2007,Czech Republic,cv,13588,Europe,Eastern Europe,NA,0,0,0,150,151,NA,203,CZ,CZE
2007,Egypt,pv,68934,Africa,Northern Africa,NA,0,0,0,2,15,NA,818,EG,EGY
2007,Egypt,cv,35539,Africa,Northern Africa,NA,0,0,0,2,15,NA,818,EG,EGY
2007,Finland,pv,24000,Europe,Northern Europe,NA,0,0,0,150,154,NA,246,FI,FIN
2007,Finland,cv,303,Europe,Northern Europe,NA,0,0,0,150,154,NA,246,FI,FIN
2007,France,pv,2550869,Europe,Western Europe,NA,0,0,0,150,155,NA,250,FR,FRA
2007,France,cv,464985,Europe,Western Europe,NA,0,0,0,150,155,NA,250,FR,FRA
2007,Germany,pv,5709139,Europe,Western Europe,NA,0,0,0,150,155,NA,276,DE,DEU
2007,Germany,cv,504321,Europe,Western Europe,NA,0,0,0,150,155,NA,276,DE,DEU
2007,Hungary,pv,287982,Europe,Eastern Europe,NA,0,0,0,150,151,NA,348,HU,HUN
2007,Hungary,cv,4045,Europe,Eastern Europe,NA,0,0,0,150,151,NA,348,HU,HUN
2007,India,pv,1713479,Asia,Southern Asia,NA,0,0,0,142,34,NA,356,IN,IND
2007,India,cv,540250,Asia,Southern Asia,NA,0,0,0,142,34,NA,356,IN,IND
2007,Indonesia,pv,309208,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,360,ID,IDN
2007,Indonesia,cv,102430,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,360,ID,IDN
2007,Iran,pv,882000,Asia,Southern Asia,NA,0,0,0,142,34,NA,364,IR,IRN
2007,Iran,cv,115240,Asia,Southern Asia,NA,0,0,0,142,34,NA,364,IR,IRN
2007,Italy,pv,910860,Europe,Southern Europe,NA,0,0,0,150,39,NA,380,IT,ITA
2007,Italy,cv,373452,Europe,Southern Europe,NA,0,0,0,150,39,NA,380,IT,ITA
2007,Japan,pv,9944637,Asia,Eastern Asia,NA,0,0,0,142,30,NA,392,JP,JPN
2007,Japan,cv,1651690,Asia,Eastern Asia,NA,0,0,0,142,30,NA,392,JP,JPN
2007,Malaysia,pv,347971,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,458,MY,MYS
2007,Malaysia,cv,93690,Asia,South-eastern Asia,NA,0,0,0,142,35,NA,458,MY,MYS
2007,Mexico,pv,1209097,Americas,Latin America and the Caribbean,Central America,0,0,0,19,419,13,484,MX,MEX
2007,Mexico,cv,886148,Americas,Latin America and the Caribbean,Central America,0,0,0,19,419,13,484,MX,MEX
2007,Netherlands,pv,61912,Europe,Western Europe,NA,0,0,0,150,155,NA,528,NL,NLD
2007,Netherlands,cv,76656,Europe,Western Europe,NA,0,0,0,150,155,NA,528,NL,NLD
2007,Poland,pv,695000,Europe,Eastern Europe,NA,0,0,0,150,151,NA,616,PL,POL
2007,Poland,cv,97703,Europe,Eastern Europe,NA,0,0,0,150,151,NA,616,PL,POL
2007,Portugal,pv,134047,Europe,Southern Europe,NA,0,0,0,150,39,NA,620,PT,PRT
2007,Portugal,cv,42195,Europe,Southern Europe,NA,0,0,0,150,39,NA,620,PT,PRT
2007,Romania,pv,234103,Europe,Eastern Europe,NA,0,0,0,150,151,NA,642,RO,ROU
2007,Romania,cv,7609,Europe,Eastern Europe,NA,0,0,0,150,151,NA,642,RO,ROU
2007,Russia,pv,1288652,Europe,Eastern Europe,NA,0,0,0,150,151,NA,643,RU,RUS
2007,Russia,cv,371468,Europe,Eastern Europe,NA,0,0,0,150,151,NA,643,RU,RUS
2007,Serbia,pv,8236,Europe,Southern Europe,NA,0,0,0,150,39,NA,688,RS,SRB
2007,Serbia,cv,1667,Europe,Southern Europe,NA,0,0,0,150,39,NA,688,RS,SRB
2007,Slovakia,pv,571071,Europe,Eastern Europe,NA,0,0,0,150,151,NA,703,SK,SVK
2007,Slovakia,cv,0,Europe,Eastern Europe,NA,0,0,0,150,151,NA,703,SK,SVK
2007,Slovenia,pv,174209,Europe,Southern Europe,NA,0,0,0,150,39,NA,705,SI,SVN
2007,Slovenia,cv,24193,Europe,Southern Europe,NA,0,0,0,150,39,NA,705,SI,SVN
2007,South Africa,pv,276018,Africa,Sub-Saharan Africa,Southern Africa,0,0,0,2,202,18,710,ZA,ZAF
2007,South Africa,cv,258472,Africa,Sub-Saharan Africa,Southern Africa,0,0,0,2,202,18,710,ZA,ZAF
2007,South Korea,pv,3723482,Asia,Eastern Asia,NA,0,0,0,142,30,NA,410,KR,KOR
2007,South Korea,cv,362826,Asia,Eastern Asia,NA,0,0,0,142,30,NA,410,KR,KOR
2007,Spain,pv,2195780,Europe,Southern Europe,NA,0,0,0,150,39,NA,724,ES,ESP
2007,Spain,cv,693923,Europe,Southern Europe,NA,0,0,0,150,39,NA,724,ES,ESP
